id	name	capacity	slots	lon	lat	district	address	address_note
1	Пункт проката велосипедов № 5	12	12	37.6	55.7554	Пресненский район	Никитский бульвар, дом 11/12, строение 3	
2	Пункт проката велосипедов № 6	8	8	37.5985	55.7573	Пресненский район	Большая Никитская улица, дом 23/14/9	
3	Пункт проката велосипедов № 9	16	16	37.6051	55.7646	Тверской район	Тверской бульвар, дом 28	
4	Пункт проката велосипедов № 324	10	10	37.5091053	55.6638804	район Проспект Вернадского	улица Лобачевского, дом 2 ,строение 1	
5	Пункт проката велосипедов № 8	14	14	37.6022	55.7616	Пресненский район	Тверской бульвар, дом 17, строение 1	
6	Пункт проката велосипедов № 2	14	14	37.5996	55.7469	район Хамовники	Гоголевский бульвар, дом 17, строение 1	
7	Пункт проката велосипедов № 11	8	8	37.6131	55.7681	Тверской район	Страстной бульвар, дом 16	
8	Пункт проката велосипедов № 1	24	24	37.6007	55.7454	район Хамовники	Гоголевский бульвар, дом 1, строение 4	Выход станции метро «Кропоткинская»
9	Пункт проката велосипедов № 10	10	10	37.6095	55.7667	Тверской район	Страстной бульвар, дом 8А	
10	Пункт проката велосипедов № 3	12	12	37.6006	55.7509	район Арбат	Гоголевский бульвар, дом 33	
11	Пункт проката велосипедов № 20	8	8	37.6484	55.7554	Басманный район	Покровский бульвар, дом 12, строение 1	
12	Пункт проката велосипедов № 21	8	8	37.6474	55.7533	Басманный район	Покровский бульвар, дом 18/15	На пересечении с Подколокольным переулком
13	Пункт проката велосипедов № 28	12	12	37.6172	55.7634	Тверской район	улица Моховая, дом 11	
14	Пункт проката велосипедов № 19	8	8	37.6473	55.7573	Басманный район	Покровский бульвар, дом 8, строение 1А	
15	Пункт проката велосипедов № 16	10	10	37.6391	55.7647	Басманный район	Чистопрудный бульвар, дом 1А	Выход станции метро «Чистые Пруды»
16	Пункт проката велосипедов № 29	12	12	37.6096	55.7621	Тверской район	Тверская улица, дом 8	
17	Пункт проката велосипедов № 30	14	14	37.612	55.7594	Тверской район	Камергерский переулок, дом 9	
18	Пункт проката велосипедов № 35	18	18	37.623	55.7622	Мещанский район	улица Кузнецкий Мост, дом 13/9, строение 1	
19	Пункт проката велосипедов № 18	8	8	37.6455	55.7603	Басманный район	Чистопрудный бульвар, дом 12, строение 1	
20	Пункт проката велосипедов № 17	8	8	37.6417	55.7631	Басманный район	Чистопрудный бульвар, дом 8, строение 1	
21	Пункт проката велосипедов № 15	8	8	37.6367	55.7654	Красносельский район	Тургеневская площадь, дом 2	Между выходами станции метро «Тургеневская»
22	Пункт проката велосипедов № 41	8	8	37.6351	55.7539	Басманный район	Лубянский проезд, дом 27/1, строение 1	Выход станции метро «Китай-Город»
23	Пункт проката велосипедов № 203	9	9	37.5791	55.7242	район Хамовники	Комсомольский проспект, дом 31, строение 2	На пересечении со 2-й Фрунзенской улицей
24	Пункт проката велосипедов № 204	8	8	37.5864	55.7217	район Хамовники	Фрунзенская набережная, дом 36/2	На пересечении со 2-й Фрунзенской улицей
25	Пункт проката велосипедов № 49	10	10	37.6415	55.7671	Басманный район	улица Мясницкая, дом 39	
26	Пункт проката велосипедов № 200	12	12	37.5969	55.7336	район Хамовники	Фрунзенская набережная, дом 4	
27	Пункт проката велосипедов № 13	10	10	37.6316	55.7666	Мещанский район	площадь Сретенские Ворота, дом 1	
28	Пункт проката велосипедов № 308	12	12	37.579688	55.701583	Академический район	Улица Вавилова, дом 17	
29	Пункт проката велосипедов № 201	22	22	37.5899	55.7257	район Хамовники	Фрунзенская набережная, дом 22/2	На пересечении с 1-й Фрунзенской улицей
